iter,loss,loss_f,loss_b
1785,0.03627993166446686,0.034082621335983276,0.002197309397161007
1786,0.036251600831747055,0.034054383635520935,0.0021972155664116144
1787,0.03622329607605934,0.03402608633041382,0.0021972113754600286
1788,0.03619500994682312,0.03399784117937088,0.0021971671376377344
1789,0.03616676479578018,0.033969633281230927,0.002197133144363761
1790,0.036138586699962616,0.03394147381186485,0.002197113586589694
1791,0.036110468208789825,0.03391341492533684,0.0021970539819449186
1792,0.03608236834406853,0.03388531878590584,0.002197049558162689
1793,0.03605431690812111,0.03385734185576439,0.0021969755180180073
1794,0.03602621704339981,0.0338292233645916,0.002196992514654994
1795,0.0359981395304203,0.03380122408270836,0.002196916611865163
1796,0.035970062017440796,0.033773135393857956,0.0021969261579215527
1797,0.03594201058149338,0.033745139837265015,0.002196871442720294
1798,0.035913992673158646,0.03371715545654297,0.002196837915107608
1799,0.035885993391275406,0.03368915989995003,0.002196833724156022
1800,0.03585804998874664,0.033661291003227234,0.0021967580541968346
1801,0.03583012893795967,0.033633336424827576,0.0021967915818095207
1802,0.035802196711301804,0.03360549733042717,0.0021966996137052774
1803,0.035774294286966324,0.033577561378479004,0.0021967317443341017
1804,0.03574642539024353,0.03354977071285248,0.002196653513237834
1805,0.035718586295843124,0.03352193161845207,0.002196654211729765
1806,0.03569071367383003,0.03349408879876137,0.002196625806391239
1807,0.03566291183233261,0.03346633538603783,0.002196577377617359
1808,0.03563511371612549,0.03343852609395981,0.00219658762216568
1809,0.03560730814933777,0.033410798758268356,0.002196510089561343
1810,0.03557957708835602,0.033383045345544815,0.0021965322084724903
1811,0.03555183857679367,0.03335538133978844,0.002196456538513303
1812,0.03552412986755371,0.033327654004096985,0.0021964763291180134
1813,0.03549644723534584,0.033300042152404785,0.002196403918787837
1814,0.03546878322958946,0.03327236697077751,0.0021964171901345253
1815,0.035441093146800995,0.03324473649263382,0.0021963559556752443
1816,0.035413485020399094,0.03321712464094162,0.002196359680965543
1817,0.035385861992836,0.0331895537674427,0.0021963068284094334
1818,0.03535827249288559,0.03316197916865349,0.0021962951868772507
1819,0.03533071279525757,0.03313443809747696,0.0021962730679661036
1820,0.03530317172408104,0.03310694172978401,0.002196231624111533
1821,0.03527560830116272,0.03307938575744629,0.0021962234750390053
1822,0.035248126834630966,0.033051956444978714,0.0021961694583296776
1823,0.035220641642808914,0.03302445635199547,0.0021961843594908714
1824,0.03519314154982567,0.03299703076481819,0.002196111250668764
1825,0.03516571968793869,0.03296958655118942,0.002196133602410555
1826,0.03513827919960022,0.03294221684336662,0.0021960618905723095
1827,0.03511086478829384,0.03291478380560875,0.002196080982685089
1828,0.03508348390460014,0.03288746997714043,0.002196013927459717
1829,0.03505612164735794,0.03286009654402733,0.0021960255689918995
1830,0.035028766840696335,0.032832805067300797,0.0021959631703794003
1831,0.035001445561647415,0.03280546888709068,0.0021959778387099504
1832,0.034974128007888794,0.032778218388557434,0.002195911481976509
1833,0.034946851432323456,0.032750923186540604,0.002195927780121565
1834,0.034919556230306625,0.03272369131445885,0.002195864450186491
1835,0.03489232063293457,0.0326964445412159,0.0021958777215331793
1836,0.03486508131027222,0.03266926482319832,0.0021958155557513237
1837,0.03483786806464195,0.03264203295111656,0.0021958339493721724
1838,0.03481070697307587,0.03261494264006615,0.0021957638673484325
1839,0.034783534705638885,0.032587748020887375,0.0021957876160740852
1840,0.03475639969110489,0.032560694962739944,0.002195704961195588
1841,0.034729309380054474,0.03253355622291565,0.0021957536228001118
1842,0.034702200442552567,0.0325065515935421,0.002195647917687893
1843,0.034675151109695435,0.032479435205459595,0.00219571590423584
1844,0.034648120403289795,0.0324525386095047,0.002195581328123808
1845,0.03462114930152893,0.03242545574903488,0.0021956933196634054
1846,0.03459421545267105,0.03239871561527252,0.0021955010015517473
1847,0.03456736356019974,0.032371681183576584,0.0021956819109618664
1848,0.034540608525276184,0.03234519809484482,0.0021954113617539406
1849,0.034514039754867554,0.03231833875179291,0.0021957007702440023
1850,0.034487705677747726,0.03229241818189621,0.0021952867973595858
1851,0.034461766481399536,0.03226601704955101,0.0021957482676953077
1852,0.03443640470504761,0.03224128112196922,0.0021951240487396717
1853,0.03441201150417328,0.0322161465883255,0.0021958653815090656
1854,0.03438923507928848,0.0321943573653698,0.002194878412410617
1855,0.03436911851167679,0.03217301890254021,0.002196098444983363
1856,0.034353531897068024,0.032159022986888885,0.0021945072803646326
1857,0.03434552624821663,0.032148994505405426,0.0021965333726257086
1858,0.034350600093603134,0.032156676054000854,0.0021939249709248543
1859,0.03437820449471474,0.03218083083629608,0.002197372494265437
1860,0.03444509580731392,0.03225208818912506,0.002193007618188858
1861,0.03458074852824211,0.03238176181912422,0.0021989878732711077
1862,0.03483762964606285,0.03264599293470383,0.002191636711359024
1863,0.035308126360177994,0.03310586139559746,0.002202264266088605
1864,0.03615545853972435,0.0339655801653862,0.0021898767445236444
1865,0.037657544016838074,0.03544832020998001,0.002209222875535488
1866,0.04027552902698517,0.03808668255805969,0.002188847865909338
1867,0.0446803905069828,0.042456019669771194,0.0022243703715503216
